"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"CONNIGIS","02213","02330",
"CONTESCOURT","02214","02680",
"CORBENY","02215","02820",
"CORCY","02216","02600",
"COUCY LE CHATEAU AUFFRIQUE","02217","02380",
"COUCY LES EPPES","02218","02840",
"COUCY LA VILLE","02219","02380",
"COULONGES COHAN","02220","02130",
"COULONGES COHAN","02220","02130","COHAN"
"COUPRU","02221","02310",
"COURBES","02222","02800",
"COURBOIN","02223","02330",
"COURCELLES SUR VESLE","02224","02220",
"COURCHAMPS","02225","02810",
"COURMELLES","02226","02200",
"COURMONT","02227","02130",
"COURTEMONT VARENNES","02228","02850",
"COURTRIZY ET FUSSIGNY","02229","02820",
"COUVRELLES","02230","02220",
"COUVRON ET AUMENCOURT","02231","02270",
"COYOLLES","02232","02600",
"CRAMAILLE","02233","02130",
"CRAONNE","02234","02160",
"CRAONNELLE","02235","02160",
"CRECY AU MONT","02236","02380",
"CRECY SUR SERRE","02237","02270",
"CREPY","02238","02870",
"CREZANCY","02239","02650",
"CROIX FONSOMME","02240","02110",
"LA CROIX SUR OURCQ","02241","02210",
"CROUTTES SUR MARNE","02242","02310",
"CROUY","02243","02880",
"CRUPILLY","02244","02120",
"CUFFIES","02245","02880",
"CUGNY","02246","02480",
"CUIRIEUX","02248","02350",
"CUIRY HOUSSE","02249","02220",
"CUIRY LES CHAUDARDES","02250","02160",
"CUIRY LES IVIERS","02251","02360",
"CUISSY ET GENY","02252","02160",
"CUISY EN ALMONT","02253","02200",
"CUTRY","02254","02600",
"CYS LA COMMUNE","02255","02220",
"DAGNY LAMBERCY","02256","02140",
"DALLON","02257","02680",
"DAMMARD","02258","02470",
"DAMPLEUX","02259","02600",
"DANIZY","02260","02800",
"DERCY","02261","02270",
